author,title,date,file
,News and Comment,1917,000089.txt
,Terraqueous Planet:,2015,000090.txt
Heike Paul,"Agrarianism, Expansionism, and the Myth of the American West",2014,000091.txt
,Spawning a Wide New Consciousness,2015,000092.txt
William Cullen Bryant,The Impending Crisis:,1984,000093.txt
,Copyright as an access right:,2017,000094.txt
,Books Received,1910,000095.txt
Michael Hughes,Chasing the Shadow,2014,000096.txt
Jim Wayne Miller,“Members of Each Other”:,1989,000097.txt
Clifton B. Kroeber,The Fourth Age:,1986,000098.txt
Worth McClure,EDITORIALS,1925,000099.txt
LAWRENCE BUELL,Emerson and Thoreau:,1973,000100.txt
Cristin Ellis,INTRODUCTION.,2018,000101.txt
JUDITH P. SAUNDERS,Biophilia in Thoreau’s Walden,2018,000102.txt
Keally McBride,Notes,2007,000103.txt
,"Dialogues with Self and Society, 1835–1860",2015,000104.txt
,Introduction:,2015,000105.txt
LAWRENCE BUELL,Transcendentalist Self-Examination and Autobiographical Tradition,1973,000106.txt
JOCK LAUTERER,Foreword,1993,000107.txt
Edith Wyatt,Two Woodsmen,1916,000108.txt
Woodbridge Riley,Two Types of Transcendentalism in America,1918,000109.txt
,APPENDIX B,2011,000110.txt
,Insider Writing:,2008,000111.txt
Douwe Fokkema,Bellamy’s Solidarity and Its Feminist Mirror Image in Herland,2011,000112.txt
Greg Gordon,BIBLIOGRAPHY,2003,000113.txt
,Introduction:,2015,000114.txt
Martha Grace Duncan,Conclusion:,1996,000115.txt
Jan M. Ziolkowski,Bibliography,2018,000116.txt
,Fake Supreme,2018,000117.txt
,Review Article,1910,000118.txt
Robert M. Press,Peaceful Resistance during a Civil War,2015,000119.txt
,List of Illustrations,2015,000120.txt
Cristin Ellis,NOTES,2018,000121.txt
Nicholas Tampio,Pushing Back,2019,000122.txt
David Herd,Bibliography,2007,000123.txt
,Opposing Authoritarian Populism:,2018,000124.txt
,Books Received,1910,000125.txt
Yuri Leving,COMMENTARY,2011,000126.txt
,Book Notices,1916,000127.txt
WILLIAM CHENG,Notes,2016,000128.txt
,[Editorial],1906,000129.txt
Shane McCorristine,Toward no earthly pole:,2018,000130.txt
,"American Art News, Vol. 18, no. 8",1919,000131.txt
Stefanie von Schnurbein,Asatru – A Religion of Nature?,2016,000132.txt
Cristin Ellis,Douglass’s Animals:,2018,000133.txt
,Versions of “Natural Man” in Appalachia,1977,000134.txt
,The Marsh of Modernity,2015,000135.txt
ANNA BOTSFORD COMSTOCK,Return to the Department of Entomology at Cornell,1953,000136.txt
VIVIANE SALEH-HANNA,PATRIOTISM:,2008,000137.txt
,"Pragmatic Idealist in Action, 1850–1865",2015,000138.txt
,Review Article,1917,000139.txt
Cristin Ellis,WORKS CITED,2018,000140.txt
Klaus Mönkemüller,Advanced Endoscopic Imaging,2013,000141.txt
,Notes,2011,000142.txt
Carol T. Fletcher,The Atlantic and the American Identity,2012,000143.txt
,[Editorial],1906,000144.txt
,INTRODUCTION:,1999,000145.txt
Cristin Ellis,Posthumanism and the Problem of Social Justice:,2018,000146.txt
Peter Baldwin,The Rise of the Digital Public:,2014,000147.txt

